id,package_id,service_id,is_included,is_optional,override_price,is_deleted,created_at,updated_at
1,1,1,1,0,,0,2026-03-20 05:50:24,2026-03-20 05:50:24
2,1,2,1,0,,0,2026-03-20 05:50:24,2026-03-20 05:50:24
3,1,3,1,0,,0,2026-03-20 05:50:24,2026-03-20 05:50:24
4,1,4,1,0,,0,2026-03-20 05:50:24,2026-03-20 05:50:24
5,1,5,1,0,,0,2026-03-20 05:50:24,2026-03-20 05:50:24
6,1,6,1,0,,0,2026-03-20 05:50:24,2026-03-20 05:50:24
7,1,7,1,0,,0,2026-03-20 05:50:24,2026-03-20 05:50:24
8,1,8,1,0,,0,2026-03-20 05:50:24,2026-03-20 05:50:24
9,1,9,1,0,,0,2026-03-20 05:50:24,2026-03-20 05:50:24
10,1,10,1,0,,0,2026-03-20 05:50:24,2026-03-20 05:50:24
11,1,11,1,0,,0,2026-03-20 05:50:24,2026-03-20 05:50:24
12,1,12,1,0,,0,2026-03-20 05:50:24,2026-03-20 05:50:24
13,1,13,1,0,,0,2026-03-20 05:50:24,2026-03-20 05:50:24
14,1,14,1,0,,0,2026-03-20 05:50:24,2026-03-20 05:50:24
16,1,15,0,1,,0,2026-03-20 05:50:29,2026-03-20 05:50:29
17,1,16,0,1,,0,2026-03-20 05:50:29,2026-03-20 05:50:29
18,1,17,0,1,,0,2026-03-20 05:50:29,2026-03-20 05:50:29
19,1,18,0,1,,0,2026-03-20 05:50:29,2026-03-20 05:50:29
20,1,19,0,1,,0,2026-03-20 05:50:29,2026-03-20 05:50:29
21,1,20,0,1,,0,2026-03-20 05:50:29,2026-03-20 05:50:29
23,2,1,1,0,,0,2026-03-20 05:53:55,2026-03-20 05:53:55
24,2,2,1,0,,0,2026-03-20 05:53:55,2026-03-20 05:53:55
25,2,3,1,0,,0,2026-03-20 05:53:55,2026-03-20 05:53:55
26,2,9,1,0,,0,2026-03-20 05:53:55,2026-03-20 05:53:55
27,2,10,1,0,,0,2026-03-20 05:53:55,2026-03-20 05:53:55
30,2,4,0,1,,0,2026-03-20 05:55:16,2026-03-20 05:55:16
31,2,5,0,1,,0,2026-03-20 05:55:16,2026-03-20 05:55:16
32,2,6,0,1,,0,2026-03-20 05:55:16,2026-03-20 05:55:16
33,2,7,0,1,,0,2026-03-20 05:55:16,2026-03-20 05:55:16
34,2,8,0,1,,0,2026-03-20 05:55:16,2026-03-20 05:55:16
35,2,11,0,1,,0,2026-03-20 05:55:16,2026-03-20 05:55:16
36,2,12,0,1,,0,2026-03-20 05:55:16,2026-03-20 05:55:16
37,2,13,0,1,,0,2026-03-20 05:55:16,2026-03-20 05:55:16
38,2,14,0,1,,0,2026-03-20 05:55:16,2026-03-20 05:55:16
39,2,15,0,1,,0,2026-03-20 05:55:16,2026-03-20 05:55:16
40,2,16,0,1,,0,2026-03-20 05:55:16,2026-03-20 05:55:16
41,2,17,0,1,,0,2026-03-20 05:55:16,2026-03-20 05:55:16
42,2,18,0,1,,0,2026-03-20 05:55:16,2026-03-20 05:55:16
43,2,19,0,1,,0,2026-03-20 05:55:16,2026-03-20 05:55:16
44,2,20,0,1,,0,2026-03-20 05:55:16,2026-03-20 05:55:16
45,3,1,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
46,3,2,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
47,3,3,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
48,3,4,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
49,3,5,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
50,3,6,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
51,3,7,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
52,3,8,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
53,3,9,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
54,3,10,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
55,3,11,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
56,3,12,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
57,3,13,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
58,3,14,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
59,3,15,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
60,3,16,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
61,3,17,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
62,3,18,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
63,3,19,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
64,3,20,0,1,,0,2026-03-20 05:56:57,2026-03-20 05:56:57
