id,zip_code,created_at,is_active,latitude,longitude
1,78223,2025-03-03 14:04:24,1,29.3579,-98.4356
2,78224,2025-03-03 14:04:24,1,29.3374,-98.5393
3,78252,2025-03-03 14:04:24,1,29.346,-98.6464
4,78235,2025-03-03 14:04:24,1,29.3494,-98.4422
5,78242,2025-03-03 14:04:24,1,29.3509,-98.6109
6,78245,2025-03-03 14:04:24,1,29.4189,-98.6895
7,78237,2025-03-03 14:04:24,1,29.4208,-98.5645
8,78253,2025-03-03 14:04:24,1,29.4599,-98.7479
9,78109,2025-03-03 14:04:24,1,29.5173,-98.3217
10,78254,2025-03-03 14:04:24,1,29.5551,-98.7442
11,78233,2025-03-03 14:04:24,1,29.5563,-98.3643
12,78108,2025-03-03 14:04:24,1,29.575,-98.228
13,78155,2025-03-03 14:04:24,1,29.5613,-97.9628
14,78266,2025-03-03 14:04:24,1,29.6643,-98.3118
15,78261,2025-03-03 14:04:24,1,29.7055,-98.4191
16,78259,2025-03-03 14:04:24,1,29.6283,-98.4445
17,78006,2025-03-03 14:04:24,1,29.8931,-98.6857
18,78260,2025-03-03 14:04:24,1,29.7026,-98.4759
19,78130,2025-03-03 14:04:24,1,29.7229,-98.0742
20,78258,2025-03-03 14:04:24,1,29.6562,-98.4967
21,78163,2025-03-03 14:04:24,1,29.7767,-98.4626
22,78070,2025-03-03 14:04:24,1,29.9238,-98.3788
23,78666,2025-03-03 14:04:24,1,29.8754,-97.9404
24,78602,2025-03-03 14:04:24,1,30.1388,-97.2921
25,78737,2025-03-03 14:04:24,1,30.2107,-97.9427
26,78733,2025-03-03 14:04:24,1,30.3314,-97.8666
27,78660,2025-03-03 14:04:24,1,30.4421,-97.6299
28,78665,2025-03-03 14:04:24,1,30.5449,-97.6438
29,78264,2025-03-03 14:04:24,1,29.1733,-98.4723
30,78121,2025-03-03 14:04:24,1,29.3509,-98.113
31,78221,2025-03-03 14:04:24,1,29.3309,-98.5054
32,78211,2025-03-03 14:04:24,1,29.3499,-98.5638
33,78222,2025-03-03 14:04:24,1,29.3831,-98.396
34,78263,2025-03-03 14:04:24,1,29.3614,-98.3174
35,78210,2025-03-03 14:04:24,1,29.3977,-98.4658
36,78009,2025-03-03 14:04:24,1,29.3553,-98.8824
37,78219,2025-03-03 14:04:24,1,29.4492,-98.3446
38,78202,2025-03-03 14:04:24,1,29.4275,-98.4601
39,78212,2025-03-03 14:04:24,1,29.4388,-98.4935
40,78152,2025-03-03 14:04:24,1,29.4353,-98.1952
41,78218,2025-03-03 14:04:24,1,29.4969,-98.4032
